"finding_id","source_id","citation","country","setting","population","study_design","pathogen_scope_type","pathogen_targets","finding_applicability","finding_category","source_signal","hospital_acquired_definition","diagnostic_method","surveillance_frame_timing","comparator_reference_group","finding_text","exposure_transmission_context","predictors_risk_factors","labs_vitals_radiology","environmental_structural_factors","space_time_overlap_clustering","clinical_outcomes","operational_burden","differential_diagnosis_coinfection","seasonal_temporal_pattern","effect_sizes_model_performance","adjustment_level","key_limitations","study_reported_implication","codeblue_translation","translation_tags"
"malik_s_2025_f01","malik_s_2025","Malik S et al. (2025) PMID: 41333356","India","Oncology ICU","711 adults","Prospective cohort","mixed_viral_bacterial_nosocomial_pneumonia","influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","HAP/VAP >48h post-admission or intubation","VITEK-2; multiplex PCR","Single-center ICU cohort","Overall cohort; flu subset vs other viral pneumonia within cohort","Flu represented 14% of viral pneumonia cases and contributed to severe ICU burden","New imaging infiltrates plus sepsis used as deterioration context; ICU-acquired pneumonia setting","Post-surgical status; COPD; oncology immunosuppression","ANC <500 associated with 9.1x risk; imaging infiltrates mentioned","ICU setting only; no detailed ward architecture reported","NR","High mortality; required MV mirroring overall cohort; prolonged ICU/hospital stay","HAP added 9.6 days to hospital stay and 4.5 days to ICU stay; rapid multiplexing demand","Overlap with Gram-negative ICU bacteria; Klebsiella and Pseudomonas common","Monsoon peak July-September; year-round baseline risk","HR 9.0 for pneumonia death overall; VAP 18.7/1000 days","Not clear from summary if multivariable for all findings","Highly specific oncology ICU population; flu-stratified details limited","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","Good for high-risk oncology ward logic and seasonal preparedness, but not a clean influenza-only paper","risk_profile|resource_strain|oncology_icu|seasonality"
"malik_s_2025_f02","malik_s_2025","Malik S et al. (2025) PMID: 41333356","India","Oncology ICU","711 adults","Prospective cohort","mixed_viral_bacterial_nosocomial_pneumonia","sars_cov_2|rhinovirus_enterovirus","non_influenza_only","pathogen_specific_finding","non_influenza_findings","HAP/VAP >48h post-admission or intubation","VITEK-2; multiplex PCR","Single-center ICU cohort","Overall cohort; flu subset vs other viral pneumonia within cohort","48.2% nosocomial pneumonia overall; Rhino/Entero 27 and SARS-CoV-2 15 reported","New imaging infiltrates plus sepsis used as deterioration context; ICU-acquired pneumonia setting","Post-surgical status; COPD; oncology immunosuppression","ANC <500 associated with 9.1x risk; imaging infiltrates mentioned","ICU setting only; no detailed ward architecture reported","NR","High mortality; required MV mirroring overall cohort; prolonged ICU/hospital stay","HAP added 9.6 days to hospital stay and 4.5 days to ICU stay; rapid multiplexing demand","Overlap with Gram-negative ICU bacteria; Klebsiella and Pseudomonas common","Monsoon peak July-September; year-round baseline risk","HR 9.0 for pneumonia death overall; VAP 18.7/1000 days","Not clear from summary if multivariable for all findings","Highly specific oncology ICU population; flu-stratified details limited","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","Good for high-risk oncology ward logic and seasonal preparedness, but not a clean influenza-only paper","risk_profile|resource_strain|oncology_icu|seasonality"
"malik_s_2025_f03","malik_s_2025","Malik S et al. (2025) PMID: 41333356","India","Oncology ICU","711 adults","Prospective cohort","mixed_viral_bacterial_nosocomial_pneumonia","influenza|sars_cov_2|rhinovirus_enterovirus","shared_both","shared_context","study_reported_implication","HAP/VAP >48h post-admission or intubation","VITEK-2; multiplex PCR","Single-center ICU cohort","Overall cohort; flu subset vs other viral pneumonia within cohort","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","New imaging infiltrates plus sepsis used as deterioration context; ICU-acquired pneumonia setting","Post-surgical status; COPD; oncology immunosuppression","ANC <500 associated with 9.1x risk; imaging infiltrates mentioned","ICU setting only; no detailed ward architecture reported","NR","High mortality; required MV mirroring overall cohort; prolonged ICU/hospital stay","HAP added 9.6 days to hospital stay and 4.5 days to ICU stay; rapid multiplexing demand","Overlap with Gram-negative ICU bacteria; Klebsiella and Pseudomonas common","Monsoon peak July-September; year-round baseline risk","HR 9.0 for pneumonia death overall; VAP 18.7/1000 days","Not clear from summary if multivariable for all findings","Highly specific oncology ICU population; flu-stratified details limited","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","Good for high-risk oncology ward logic and seasonal preparedness, but not a clean influenza-only paper","risk_profile|resource_strain|oncology_icu|seasonality"
"malik_s_2025_f04","malik_s_2025","Malik S et al. (2025) PMID: 41333356","India","Oncology ICU","711 adults","Prospective cohort","mixed_viral_bacterial_nosocomial_pneumonia","influenza|sars_cov_2|rhinovirus_enterovirus","comparative","comparative_interpretation","comparative_findings","HAP/VAP >48h post-admission or intubation","VITEK-2; multiplex PCR","Single-center ICU cohort","Overall cohort; flu subset vs other viral pneumonia within cohort","Flu interpreted within broader viral/bacterial ICU pneumonia mix","New imaging infiltrates plus sepsis used as deterioration context; ICU-acquired pneumonia setting","Post-surgical status; COPD; oncology immunosuppression","ANC <500 associated with 9.1x risk; imaging infiltrates mentioned","ICU setting only; no detailed ward architecture reported","NR","High mortality; required MV mirroring overall cohort; prolonged ICU/hospital stay","HAP added 9.6 days to hospital stay and 4.5 days to ICU stay; rapid multiplexing demand","Overlap with Gram-negative ICU bacteria; Klebsiella and Pseudomonas common","Monsoon peak July-September; year-round baseline risk","HR 9.0 for pneumonia death overall; VAP 18.7/1000 days","Not clear from summary if multivariable for all findings","Highly specific oncology ICU population; flu-stratified details limited","Severe nosocomial respiratory infection in oncology ICU is strongly associated with immunosuppression, neutropenia, ventilation burden, and prolonged stay","Good for high-risk oncology ward logic and seasonal preparedness, but not a clean influenza-only paper","risk_profile|resource_strain|oncology_icu|seasonality"
"jimenez_juarez_2025_f01","jimenez_juarez_2025","Jiménez-Juárez et al. (2025) DOI: 10.3390/v17060771","Mexico","Tertiary pediatric hospital","212 children","Retrospective cohort","pediatric_influenza_plus_other_respiratory_viruses","influenza_a_h1n1|influenza_a_h3n2|influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","Nosocomial acquisition post-admission; associated with MV risk","PCR; logistic regression","Pediatric hospital cohort","Within-cohort severity comparisons","AH1N1 36.8% and H3N2 26.9%; paradoxical breathing flagged as key flu deterioration sign","Paradoxical breathing and hypotension as bedside escalation context","Nosocomial status; neuro/cardiac comorbidity; age 1-4 years peak vulnerability","Leukocytes 12.6k; neutrophils 49-59%; paradoxical breathing; hypotension","NR","NR","21.2% MV overall; mortality 10.3% in infants <1 year; median stay 6-16 days","High PICU and ventilator reliance","Bacterial coinfection increased MV risk","Peak Dec/Jan; year-round pediatric baseline","Descriptive proportions; logistic regression used but exact adjusted estimates not in source summary","Logistic regression reported","Single-center pediatric study; summary lacks full adjusted table","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Useful for pediatric CodeBlue rules, bedside deterioration triggers, and pediatric seasonal preparedness","risk_profile|ward_vuln|pediatrics|rapid_escalation"
"jimenez_juarez_2025_f02","jimenez_juarez_2025","Jiménez-Juárez et al. (2025) DOI: 10.3390/v17060771","Mexico","Tertiary pediatric hospital","212 children","Retrospective cohort","pediatric_influenza_plus_other_respiratory_viruses","rsv|rhinovirus","non_influenza_only","pathogen_specific_finding","non_influenza_findings","Nosocomial acquisition post-admission; associated with MV risk","PCR; logistic regression","Pediatric hospital cohort","Within-cohort severity comparisons","25.5% coinfection with RSV/Rhino; non-flu viruses also linked to severity","Paradoxical breathing and hypotension as bedside escalation context","Nosocomial status; neuro/cardiac comorbidity; age 1-4 years peak vulnerability","Leukocytes 12.6k; neutrophils 49-59%; paradoxical breathing; hypotension","NR","NR","21.2% MV overall; mortality 10.3% in infants <1 year; median stay 6-16 days","High PICU and ventilator reliance","Bacterial coinfection increased MV risk","Peak Dec/Jan; year-round pediatric baseline","Descriptive proportions; logistic regression used but exact adjusted estimates not in source summary","Logistic regression reported","Single-center pediatric study; summary lacks full adjusted table","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Useful for pediatric CodeBlue rules, bedside deterioration triggers, and pediatric seasonal preparedness","risk_profile|ward_vuln|pediatrics|rapid_escalation"
"jimenez_juarez_2025_f03","jimenez_juarez_2025","Jiménez-Juárez et al. (2025) DOI: 10.3390/v17060771","Mexico","Tertiary pediatric hospital","212 children","Retrospective cohort","pediatric_influenza_plus_other_respiratory_viruses","influenza_a_h1n1|influenza_a_h3n2|influenza|rsv|rhinovirus","shared_both","shared_context","study_reported_implication","Nosocomial acquisition post-admission; associated with MV risk","PCR; logistic regression","Pediatric hospital cohort","Within-cohort severity comparisons","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Paradoxical breathing and hypotension as bedside escalation context","Nosocomial status; neuro/cardiac comorbidity; age 1-4 years peak vulnerability","Leukocytes 12.6k; neutrophils 49-59%; paradoxical breathing; hypotension","NR","NR","21.2% MV overall; mortality 10.3% in infants <1 year; median stay 6-16 days","High PICU and ventilator reliance","Bacterial coinfection increased MV risk","Peak Dec/Jan; year-round pediatric baseline","Descriptive proportions; logistic regression used but exact adjusted estimates not in source summary","Logistic regression reported","Single-center pediatric study; summary lacks full adjusted table","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Useful for pediatric CodeBlue rules, bedside deterioration triggers, and pediatric seasonal preparedness","risk_profile|ward_vuln|pediatrics|rapid_escalation"
"jimenez_juarez_2025_f04","jimenez_juarez_2025","Jiménez-Juárez et al. (2025) DOI: 10.3390/v17060771","Mexico","Tertiary pediatric hospital","212 children","Retrospective cohort","pediatric_influenza_plus_other_respiratory_viruses","influenza_a_h1n1|influenza_a_h3n2|influenza|rsv|rhinovirus","shared_both","shared_context","comparative_findings","Nosocomial acquisition post-admission; associated with MV risk","PCR; logistic regression","Pediatric hospital cohort","Within-cohort severity comparisons","Shared deterioration features across pediatric respiratory viruses","Paradoxical breathing and hypotension as bedside escalation context","Nosocomial status; neuro/cardiac comorbidity; age 1-4 years peak vulnerability","Leukocytes 12.6k; neutrophils 49-59%; paradoxical breathing; hypotension","NR","NR","21.2% MV overall; mortality 10.3% in infants <1 year; median stay 6-16 days","High PICU and ventilator reliance","Bacterial coinfection increased MV risk","Peak Dec/Jan; year-round pediatric baseline","Descriptive proportions; logistic regression used but exact adjusted estimates not in source summary","Logistic regression reported","Single-center pediatric study; summary lacks full adjusted table","Pediatric hospital-acquired influenza and related viral disease can deteriorate rapidly, especially in young children with comorbidity and paradoxical breathing","Useful for pediatric CodeBlue rules, bedside deterioration triggers, and pediatric seasonal preparedness","risk_profile|ward_vuln|pediatrics|rapid_escalation"
"ha_rvi_study_2025_f01","ha_rvi_study_2025","HA-RVI Study (2025) DOI: 10.1111/tid.70135","NR","Tertiary academic center","10-year longitudinal cohort","Retrospective EHR cohort","mixed_hospital_acquired_respiratory_viral_infections","influenza","influenza_only","pathogen_specific_finding","influenza_specific_findings","Positive result >=72h post-admission","EHR plus PCR records","10-year longitudinal","HA-flu vs CA-flu; mixed HA-RVI comparisons","Flu 6.6%; HA-flu associated with higher MV/RRT and higher in-hospital death than CA-flu; 2x more likely in cancer patients","New onset on oncology/SCT ward indicates acquisition context","Cancer 24.3%; chemotherapy within 30 days; SCT within 1 year","Immunocompromised status focus","High-risk oncology/SCT ward structure implicit","Ward-based clustering on oncology/SCT services","High dialysis and ventilation demand; increased stay duration; higher in-hospital death vs CA-flu","Systemic strain on SCT wards","Bacterial overlap increased severity","Year-round threat in high-risk SCT patients","p<0.05 for higher MV/RRT; p<0.01 for higher in-hospital death vs CA-flu","Adjusted status not fully clear from summary","Single-center high-risk population likely limits generalizability","Hospital-acquired respiratory viral infection is particularly severe in cancer/SCT populations and worse than community-acquired influenza in key outcomes","Strong support for ward vulnerability and high-risk oncology/SCT surveillance logic","ward_vuln|project_justification|immunocompromised|pathogen_pack"
"ha_rvi_study_2025_f02","ha_rvi_study_2025","HA-RVI Study (2025) DOI: 10.1111/tid.70135","NR","Tertiary academic center","10-year longitudinal cohort","Retrospective EHR cohort","mixed_hospital_acquired_respiratory_viral_infections","rsv|parainfluenza","non_influenza_only","pathogen_specific_finding","non_influenza_findings","Positive result >=72h post-admission","EHR plus PCR records","10-year longitudinal","HA-flu vs CA-flu; mixed HA-RVI comparisons","RSV 12.2%; PIV 10.9%; increased life-support needs in HA-RVI","New onset on oncology/SCT ward indicates acquisition context","Cancer 24.3%; chemotherapy within 30 days; SCT within 1 year","Immunocompromised status focus","High-risk oncology/SCT ward structure implicit","Ward-based clustering on oncology/SCT services","High dialysis and ventilation demand; increased stay duration; higher in-hospital death vs CA-flu","Systemic strain on SCT wards","Bacterial overlap increased severity","Year-round threat in high-risk SCT patients","p<0.05 for higher MV/RRT; p<0.01 for higher in-hospital death vs CA-flu","Adjusted status not fully clear from summary","Single-center high-risk population likely limits generalizability","Hospital-acquired respiratory viral infection is particularly severe in cancer/SCT populations and worse than community-acquired influenza in key outcomes","Strong support for ward vulnerability and high-risk oncology/SCT surveillance logic","ward_vuln|project_justification|immunocompromised|pathogen_pack"
