"Patient-level risk modeling
“Given a patient with influenza, what increases the probability they will develop a secondary infection?”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
source_id,citation,pmid,doi,country,setting,population,study_design,pathogen_scope,acquisition_context,hospital_acquired_definition,diagnostic_method,surveillance_frame,comparator_group,risk_factor_name,canonical_feature_name,risk_factor_type,feature_class,temporal_stage,risk_factor_definition,finding_text,effect_size,effect_size_type,confidence_interval,p_value,effect_direction,evidence_strength,adjustment_level,outcome_linked,clinical_context,applicability_to_influenza,key_limitations,study_reported_implication,codeblue_translation,tags,factor_role,data_status
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,2146 hospitalized severe influenza A(H1N1)pdm09 patients,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Prospectively collected clinical database,2009 pandemic period,Nosocomial infection vs no nosocomial infection,mechanical_ventilation_need,mechanical_ventilation,vital,vital,early_hospitalization,Need for mechanical ventilation on admission / early hospitalization,Need for mechanical ventilation was independently associated with later nosocomial infection following severe influenza,3.336,OR,2.362-4.712,NR,increase_risk,high,Multivariable logistic regression,secondary nosocomial infection,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,"Outcome is secondary nosocomial infection, not hospital-acquired influenza acquisition",Mechanical ventilation identifies severe influenza patients at high risk of secondary nosocomial infection,Add mechanical ventilation as a major secondary-infection risk flag in severe influenza patients,HIGH SEVERITY; SECONDARY INFECTION,severity_associated,ready
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,2146 hospitalized severe influenza A(H1N1)pdm09 patients,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Prospectively collected clinical database,2009 pandemic period,Nosocomial infection vs no nosocomial infection,sepsis,sepsis,vital,vital,early_hospitalization,Sepsis present in the early stage,Sepsis was independently associated with later nosocomial infection following severe influenza,2.125,OR,1.236-3.651,NR,increase_risk,high,Multivariable logistic regression,secondary nosocomial infection,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,"Outcome is secondary nosocomial infection, not hospital-acquired influenza acquisition",Sepsis identifies severe influenza patients at higher risk of secondary nosocomial infection,Add sepsis as a secondary-infection escalation factor,SEPSIS; SECONDARY INFECTION,severity_associated,ready
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,2146 hospitalized severe influenza A(H1N1)pdm09 patients,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Prospectively collected clinical database,2009 pandemic period,Nosocomial infection vs no nosocomial infection,icu_admission_on_first_day,icu_context,patient,operational,early_hospitalization,ICU admission on the first hospital day,ICU admission on first day was independently associated with later nosocomial infection following severe influenza,2.074,OR,1.425-3.019,NR,increase_risk,high,Multivariable logistic regression,secondary nosocomial infection,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,Reflects severe baseline state rather than influenza acquisition,ICU-level care at presentation identifies patients at elevated risk of secondary nosocomial infection,Add first-day ICU admission as a secondary-infection risk modifier,ICU; SECONDARY INFECTION,severity_associated,ready
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,2146 hospitalized severe influenza A(H1N1)pdm09 patients,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Prospectively collected clinical database,2009 pandemic period,Nosocomial infection vs no nosocomial infection,lymphocytopenia,lymphopenia,lab,laboratory,early_hospitalization,Lymphocytopenia on admission,Lymphocytopenia was independently associated with later nosocomial infection following severe influenza,1.906,OR,1.361-2.671,NR,increase_risk,high,Multivariable logistic regression,secondary nosocomial infection,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,Different outcome from Table 1 Yang 2020 row; here it predicts secondary infection after influenza,Lymphocytopenia identifies influenza patients at elevated risk of secondary nosocomial infection,Add lymphopenia to secondary-infection risk engine,LAB SIGNAL; SECONDARY INFECTION,severity_associated,ready
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,2146 hospitalized severe influenza A(H1N1)pdm09 patients,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Prospectively collected clinical database,2009 pandemic period,Nosocomial infection vs no nosocomial infection,age_over_65,age,patient,demographic,baseline,Age greater than 65 years,Age >65 years was independently associated with later nosocomial infection following severe influenza,1.83,OR,1.04-3.21,NR,increase_risk,high,Multivariable logistic regression,secondary nosocomial infection,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,"Age here predicts secondary infection after severe influenza, not hospital-acquired influenza acquisition",Older age increases vulnerability to secondary nosocomial infection after severe influenza,Add older age as a secondary-infection vulnerability factor,RISK PROFILE; SECONDARY INFECTION,severity_associated,ready
zhou_2018,Zhou et al. 2018,29413513,10.1016/j.rmed.2017.11.017,China,Chinese national hospital network,2146 hospitalized severe influenza A(H1N1)pdm09 patients,Prospective cohort analysis,Influenza,Hospitalized severe influenza cohort,Nosocomial infection occurring after admission among severe influenza patients,Prospectively collected clinical database,2009 pandemic period,Nosocomial infection vs no nosocomial infection,anemia,anemia,lab,laboratory,early_hospitalization,Anaemia on admission,Anaemia was independently associated with later nosocomial infection following severe influenza,1.39,OR,1.39-2.79,NR,increase_risk,high,Multivariable logistic regression,secondary nosocomial infection,Hospitalized severe influenza A(H1N1)pdm09 patients,influenza_only,Abstract-reported CI should be checked in full text because the lower bound appears identical to the point estimate,Anaemia identifies severe influenza patients at higher risk of secondary nosocomial infection,Add anaemia to secondary-infection risk engine,LAB SIGNAL; SECONDARY INFECTION,severity_associated,ready_partial
fan_2025,Fan et al. 2025,40855472,10.1186/s12879-025-11455-8,China,"Beijing Ditan Hospital, Capital Medical University",1151 hospitalized adults with viral respiratory tract infections; 185 with hospital-acquired DRPs infection,Retrospective cohort with interpretable ML,Influenza + COVID-19 ,Hospital-acquired secondary infection / colonization,DRPs detected after the first 48 h of hospitalization,Microbiology culture + AST + ML,2018-2024,DRPs group vs non-DRPs group in hospitalized VRTI patients,prolonged_length_of_stay,length_of_stay,model_feature,operational,post_viral_infection,Longer hospital stay before/through admission course,Length of stay was the highest-ranked predictor of hospital-acquired DRPs infection in the neural-network SHAP analysis,1,SHAP_rank,NR,NR,increase_risk,medium,Interpretable ML ranking,hospital-acquired DRPs infection or colonization,Hospitalized adult VRTI patients,mixed_vrti_partial,Model-based ranking; not influenza-only; no per-feature OR reported,Prolonged hospitalization was the strongest predictor of hospital-acquired DRPs infection,Use prolonged LOS as a major secondary-infection escalation feature,DRP; LOS; SECONDARY INFECTION,severity_associated,ready_partial
fan_2025,Fan et al. 2025,40855472,10.1186/s12879-025-11455-8,China,"Beijing Ditan Hospital, Capital Medical University",1151 hospitalized adults with viral respiratory tract infections; 185 with hospital-acquired DRPs infection,Retrospective cohort with interpretable ML,Influenza + COVID-19 ,Hospital-acquired secondary infection / colonization,DRPs detected after the first 48 h of hospitalization,Microbiology culture + AST + ML,2018-2024,DRPs group vs non-DRPs group in hospitalized VRTI patients,low_cholinesterase,cholinesterase,model_feature,lab,post_viral_infection,Reduced serum cholinesterase,"Cholinesterase was the second-highest predictor in the SHAP ranking, and the discussion interprets lower CHE as associated with increased DRPs risk",2,SHAP_rank,NR,NR,increase_risk,medium,Interpretable ML ranking + study discussion,hospital-acquired DRPs infection or colonization,Hospitalized adult VRTI patients,mixed_vrti_partial,Model-based ranking; not influenza-only; no per-feature OR reported,Reduced CHE may mark susceptibility to hospital-acquired DRPs infection,Use low CHE as a partial lab-risk signal for secondary infection,DRP; CHE; SECONDARY INFECTION,severity_associated,ready_partial
fan_2025,Fan et al. 2025,40855472,10.1186/s12879-025-11455-8,China,"Beijing Ditan Hospital, Capital Medical University",1151 hospitalized adults with viral respiratory tract infections; 185 with hospital-acquired DRPs infection,Retrospective cohort with interpretable ML,Influenza + COVID-19 ,Hospital-acquired secondary infection / colonization,DRPs detected after the first 48 h of hospitalization,Microbiology culture + AST + ML,2018-2024,DRPs group vs non-DRPs group in hospitalized VRTI patients,hypoalbuminemia,albumin,model_feature,lab,post_viral_infection,Lower serum albumin / hypoalbuminemia,"Albumin was among the top predictive variables in the SHAP ranking, and the discussion interprets decreased albumin as increasing DRPs infection risk",4,SHAP_rank,NR,NR,increase_risk,medium,Interpretable ML ranking + study discussion,hospital-acquired DRPs infection or colonization,Hospitalized adult VRTI patients,mixed_vrti_partial,Model-based ranking; not influenza-only; no per-feature OR reported,Low albumin may increase susceptibility to hospital-acquired DRPs infection,Use hypoalbuminemia as a partial secondary-infection vulnerability feature,DRP; ALBUMIN; SECONDARY INFECTION,severity_associated,ready_partial
