source_id,citation,pmid,doi,country,setting,population,study_design,pathogen_scope,acquisition_context,hospital_acquired_definition,diagnostic_method,surveillance_frame,comparator_group,canonical_feature_name,risk_factor_type,feature_class,temporal_stage,risk_factor_definition,finding_text,effect_size,effect_size_type,confidence_interval,p_value,effect_direction,evidence_strength,adjustment_level,outcome_linked,clinical_context,applicability_to_influenza,key_limitations,study_reported_implication,codeblue_translation,tags,factor_role,data_status
buckrell_2020,Buckrell et al. 2020,31954763,10.1016/j.jhin.2020.01.009,Canada,Nine acute care hospitals,814 laboratory-confirmed viral respiratory illnesses in healthcare personnel,Nested case-control analysis,Influenza + other respiratory viruses,Healthcare worker viral respiratory infection,Healthcare personnel respiratory illness with prior-week exposure assessment,PCR respiratory panel,2010-2011 to 2013-2014,Ill HCWs vs asymptomatic controls,hcw_household_exposure,multivariable,staff_vector,prior_week_exposure,Exposure to ill adult household members,Adult ill household members were strongly associated with viral respiratory illness in healthcare personnel,7.0,aOR,5.4-9.1,NR,increase_risk,high,Conditional logistic regression,staff infection risk,Acute care healthcare personnel,shared_with_other_pathogens,Not patient-acquisition paper; mixed respiratory viruses,Household exposure was a major source of HCW viral illness,Model HCW household exposure as an upstream workforce-risk input,HCW EXPOSURE; HOUSEHOLD,facilitator,ready
buckrell_2020,Buckrell et al. 2020,31954763,10.1016/j.jhin.2020.01.009,Canada,Nine acute care hospitals,814 laboratory-confirmed viral respiratory illnesses in healthcare personnel,Nested case-control analysis,Influenza + other respiratory viruses,Healthcare worker viral respiratory infection,Healthcare personnel respiratory illness with prior-week exposure assessment,PCR respiratory panel,2010-2011 to 2013-2014,Ill HCWs vs asymptomatic controls,hcw_coworker_exposure,multivariable,staff_vector,prior_week_exposure,Exposure to ill coworkers,Exposure to ill coworkers was associated with viral respiratory illness in healthcare personnel,3.4,aOR,2.4-4.7,NR,increase_risk,high,Conditional logistic regression,staff infection risk,Acute care healthcare personnel,shared_with_other_pathogens,Not patient-acquisition paper; mixed respiratory viruses,Coworkers were an important source of HCW viral illness,Model coworker exposure as a workforce-spread input,HCW EXPOSURE; COWORKER,facilitator,ready
buckrell_2020,Buckrell et al. 2020,31954763,10.1016/j.jhin.2020.01.009,Canada,Nine acute care hospitals,814 laboratory-confirmed viral respiratory illnesses in healthcare personnel,Nested case-control analysis,Influenza + other respiratory viruses,Healthcare worker viral respiratory infection,Healthcare personnel respiratory illness with prior-week exposure assessment,PCR respiratory panel,2010-2011 to 2013-2014,Ill HCWs vs asymptomatic controls,hcw_social_contact_exposure,multivariable,staff_vector,prior_week_exposure,Exposure to ill social contacts outside household,Exposure to ill social contacts was associated with viral respiratory illness,5.1,aOR,3.6-7.1,NR,increase_risk,high,Conditional logistic regression,staff infection risk,Acute care healthcare personnel,shared_with_other_pathogens,Not patient-acquisition paper; mixed respiratory viruses,Social contacts also contributed substantially to HCW viral illness,Model social exposure as an upstream workforce-risk input,HCW EXPOSURE; COMMUNITY,facilitator,ready
buckrell_2020,Buckrell et al. 2020,31954763,10.1016/j.jhin.2020.01.009,Canada,Nine acute care hospitals,814 laboratory-confirmed viral respiratory illnesses in healthcare personnel,Nested case-control analysis,Influenza + other respiratory viruses,Healthcare worker viral respiratory infection,Healthcare personnel respiratory illness with prior-week exposure assessment,PCR respiratory panel,2010-2011 to 2013-2014,Ill HCWs vs asymptomatic controls,direct_patient_contact,multivariable,staff_vector,prior_week_exposure,Direct patient contact,Healthcare personnel with direct patient contact had higher odds of illness,1.3,aOR,1.1-1.6,NR,increase_risk,medium,Conditional logistic regression,staff infection risk,Acute care healthcare personnel,shared_with_other_pathogens,Patient-facing status is broad and not influenza-specific,Direct patient contact modestly increased HCW illness risk,Use patient-facing work as a workforce exposure modifier,HCW EXPOSURE; PATIENT CONTACT,facilitator,ready
buckrell_2020,Buckrell et al. 2020,31954763,10.1016/j.jhin.2020.01.009,Canada,Nine acute care hospitals,814 laboratory-confirmed viral respiratory illnesses in healthcare personnel,Nested case-control analysis,Influenza + other respiratory viruses,Healthcare worker viral respiratory infection,Healthcare personnel respiratory illness with prior-week exposure assessment,PCR respiratory panel,2010-2011 to 2013-2014,Ill HCWs vs asymptomatic controls,recognized_patient_exposure_not_strong_signal,multivariable,staff_vector,prior_week_exposure,Exposure to patients with recognized respiratory illness,Exposure to patients with recognized respiratory illness was not associated with infection,0.9,aOR,0.7-1.2,NR,mixed_or_unclear,medium,Conditional logistic regression,staff infection risk,Acute care healthcare personnel,shared_with_other_pathogens,May reflect effective PPE or unrecognized sources,Recognized sick patients were not the main signal in this HCW study,Do not over-weight only recognized patient exposure,HCW EXPOSURE; RECOGNIZED PATIENT,contextual,ready
gustin_2023,Gustin et al. 2023,37386032,10.1038/s41598-023-36908-5,France,"Short-stay geriatric unit, university hospital","82 participants: 35 patients, 32 nurses/paramedical staff, 15 doctors",Contact-network stochastic SEIR modeling,Influenza H3N2,Nosocomial transmission context,Confirmed influenza in geriatric short-stay unit,PCR + RFID contact data,10-day study during 2011-2012 influenza peak,Role-based transmission matrix,nurse_as_primary_staff_vector,model_based,staff_vector,contact_network,Nurse role as dominant staff transmission vector,Nurses appeared to transmit infection to patients more frequently than doctors,1.04 vs 0.38,transmission_rate_compare,NR,NR,increase_risk,medium,SEIR contact-network modeling,staff vector / spread,Geriatric short-stay unit,influenza_only,Unit-specific modeling study,Nurses were the primary staff-to-patient vector in this setting,Prioritize nurse-focused controls and staffing logic,NURSE VECTOR; CONTACT NETWORK,facilitator,ready
gustin_2023,Gustin et al. 2023,37386032,10.1038/s41598-023-36908-5,France,"Short-stay geriatric unit, university hospital","82 participants: 35 patients, 32 nurses/paramedical staff, 15 doctors",Contact-network stochastic SEIR modeling,Influenza H3N2,Nosocomial transmission context,Confirmed influenza in geriatric short-stay unit,PCR + RFID contact data,10-day study during 2011-2012 influenza peak,Role-based transmission matrix,nurse_to_nurse_transmission,model_based,staff_vector,contact_network,Nurse-to-nurse influenza transmission,Nurse-to-nurse transmission rate was 0.34 per day,0.34 per day,transmission_rate,NR,NR,increase_risk,medium,SEIR contact-network modeling,staff vector / spread,Geriatric short-stay unit,influenza_only,Unit-specific modeling study,Staff-staff spread among nurses was relevant,Model nurse-to-nurse spread in workforce transmission logic,STAFF VECTOR; NURSE-NURSE,facilitator,ready
tamo_2022,Tamò et al. 2022,33952361,10.1017/ice.2021.112,Switzerland,University Hospital Zurich,152 HCWs and 542 inpatients over 2 influenza seasons,Prospective surveillance study with sequencing/contact tracing,Influenza,Hospital transmission context,Influenza infection in acute care during study monitoring,PCR + sequencing + contact tracing,2015-2016 and 2016-2017,Asymptomatic vs symptomatic transmission context,asymptomatic_hcw_shedding_context,prospective_surveillance,staff_vector,contact_network,Influenza-positive HCW shedding without symptoms,"HCWs regularly shed influenza virus without symptoms, but monitored asymptomatic transmission was rare",NR,contextual,NR,NR,mixed_or_unclear,medium,Prospective surveillance,staff transmission context,Acute-care influenza monitoring,influenza_only,Low number of observed transmission events,Asymptomatic HCW shedding exists but did not generate observed monitored transmission here,Use as nuance in staff-vector policy logic,ASYMPTOMATIC HCW SHEDDING,contextual,ready
matsushita_2020,Matsushita et al. 2020,32494296,10.1177/1757177420908012,Japan,605-bed tertiary-care general hospital,Five seasonal influenza outbreaks over 10 years,Retrospective outbreak surveillance review,Influenza,Healthcare-worker-linked end-of-season outbreaks,Hospital outbreaks involving patients and healthcare workers,Surveillance records and medical-record review,Previous 10 years of hospital outbreaks,Outbreaks occurring earlier vs end of season,end_of_season_waning_hcw_vaccine_immunity,short_report_observation,staff,outbreak_dynamic,Late-season outbreaks occurring >100 days after staff vaccination with healthcare-worker index cases,"Three of five outbreaks occurred at the end of March or beginning of April after >100 days from vaccination; the reported index case was a nurse or office worker in each, and >50% of those affected were healthcare workers",3 of 5 outbreaks,outbreak_pattern,NR,NR,increase_risk,medium,Retrospective surveillance review,staff-linked outbreak initiation,Hospital seasonal outbreak pattern,influenza_only,Short report with few outbreaks,The findings were consistent with intra-seasonal waning of vaccine immunity contributing to end-of-season healthcare-worker-linked outbreaks,Use late-season timing after staff vaccination as a staff-vector vigilance signal,HCW INDEX; WANING IMMUNITY; END OF SEASON,contextual,ready_partial
amour_2022,Amour et al. 2022,35382916,10.1017/ice.2022.68,France,Two French university hospitals,Hospitalized short-stay inpatients with influenza-like illness; 24 confirmed HA influenza cases and 141 influenza-negative controls over 2 influenza seasons,Case-case negative control study nested in a prospective cohort,Influenza,HCW-source ward-level transmission context,HA influenza defined as virologically confirmed influenza with symptom onset >=72 h after ward admission,Systematic nasal swab PCR,Two influenza seasons,Confirmed HA influenza cases vs influenza-negative ILI controls,hcw_influenza_vaccination_coverage,protective_association,staff,pre_exposure,"Ward-level influenza vaccine coverage among healthcare workers, especially coverage >=40%","After adjustment, healthcare-worker influenza vaccination coverage >=40% was associated with reduced risk of hospital-acquired influenza in hospitalized patients; crude OR declined from 0.52 to 0.14 as ward coverage increased from 20% to 40%",0.07,aOR,0.01-0.78,NR,decrease_risk,high,"Mixed-effect logistic regression adjusted for patient sex, age, potential influenza source on ward in prior 5 days, ward type, and influenza season",hospital-acquired influenza,Short-stay hospitalized patients under systematic PCR testing,influenza_only,Pilot study with limited sample size and only 24 HA influenza cases,HCW vaccination was highly suggestive of preventing HA influenza among hospitalized patients,Use ward HCW vaccination coverage as a staff-source protective modifier and prevention target,HCW VACCINATION; SOURCE CONTROL; WARD COVERAGE,contextual,ready
ambrosch_2022,Ambrosch et al. 2022,34929232,10.1016/j.jhin.2021.12.010,Germany,905-bed maximum-care hospital,1186 hospitalized influenza patients across five influenza seasons,Retrospective before-after monocentric study,Influenza,Staff-source prevention context,Nosocomial influenza captured in hospital surveillance and compared before vs after strict staff mask policy,PCR-based influenza diagnosis,2015-2019 influenza seasons,Pre-intervention 2015-2016 vs intervention 2017-2019,strict_staff_mask_policy,protective_association,staff,pre_exposure,Mandatory surgical mouth-nose protection for all HCWs during their full shift when at least three influenza patients were simultaneously present on a ward,"After introduction of strict staff masking, nosocomial influenza incidence fell nearly 50% and nosocomial mortality fell by 85%",0.40; 0.15,OR,0.28-0.56; 0.02-0.70,<0.001; 0.007,decrease_risk,high,Before-after comparison,nosocomial influenza incidence and mortality,Ward-level staff-source control during influenza season,influenza_only,Monocentric retrospective design with concurrent hand-hygiene improvement,Continuous staff masking appeared strongly protective against nosocomial influenza spread and death,Use strict ward-level staff masking as a high-priority staff-vector control measure when influenza burden rises,STAFF MASKING; SOURCE CONTROL; MORTALITY,protective,ready
